
Histogram of unique 21-mers of sanger_newton_drMalDome6.R1

  Input: 5,040,376,329 unique 21-mers

     Freq:        Count   Cum. %
      181:       322004     1.0%
      180:       331693     1.0%
      179:       343904     1.0%
      178:       357029     1.0%
      177:       370788     1.1%
      176:       387184     1.1%
      175:       405409     1.1%
      174:       427484     1.1%
      173:       452093     1.1%
      172:       477544     1.1%
      171:       509675     1.1%
      170:       545403     1.1%
      169:       589632     1.1%
      168:       637177     1.1%
      167:       693644     1.2%
      166:       753648     1.2%
      165:       822227     1.2%
      164:       899069     1.2%
      163:       986190     1.2%
      162:      1080304     1.2%
      161:      1187661     1.3%
      160:      1301900     1.3%
      159:      1430864     1.3%
      158:      1567208     1.4%
      157:      1719154     1.4%
      156:      1877787     1.4%
      155:      2051359     1.5%
      154:      2234697     1.5%
      153:      2423354     1.6%
      152:      2626587     1.6%
      151:      2833003     1.7%
      150:      3050328     1.7%
      149:      3271150     1.8%
      148:      3495103     1.9%
      147:      3717031     1.9%
      146:      3940263     2.0%
      145:      4162308     2.1%
      144:      4379163     2.2%
      143:      4587985     2.3%
      142:      4793484     2.4%
      141:      4983762     2.5%
      140:      5163818     2.6%
      139:      5322190     2.7%
      138:      5466243     2.8%
      137:      5591630     2.9%
      136:      5687006     3.0%
      135:      5757211     3.1%
      134:      5799145     3.2%
      133:      5829173     3.4%
      132:      5823800     3.5%
      131:      5795685     3.6%
      130:      5737363     3.7%
      129:      5659486     3.8%
      128:      5567555     3.9%
      127:      5442352     4.0%
      126:      5301765     4.1%
      125:      5142587     4.2%
      124:      4970022     4.3%
      123:      4780247     4.4%
      122:      4586899     4.5%
      121:      4384514     4.6%
      120:      4182504     4.7%
      119:      3967215     4.8%
      118:      3759117     4.8%
      117:      3558541     4.9%
      116:      3355017     5.0%
      115:      3168453     5.0%
      114:      2992057     5.1%
      113:      2828374     5.2%
      112:      2682980     5.2%
      111:      2551700     5.3%
      110:      2435839     5.3%
      109:      2351184     5.4%
      108:      2272789     5.4%
      107:      2217741     5.4%
      106:      2184448     5.5%
      105:      2168837     5.5%
      104:      2177597     5.6%
      103:      2197474     5.6%
      102:      2239095     5.7%
      101:      2296475     5.7%
      100:      2362480     5.8%
       99:      2441646     5.8%
       98:      2529355     5.9%
       97:      2623128     5.9%
       96:      2714783     6.0%
       95:      2812171     6.0%
       94:      2906356     6.1%
       93:      2995837     6.1%
       92:      3073832     6.2%
       91:      3133449     6.3%
       90:      3181861     6.3%
       89:      3213435     6.4%
       88:      3228842     6.4%
       87:      3225807     6.5%
       86:      3193459     6.6%
       85:      3150051     6.6%
       84:      3091005     6.7%
       83:      3004489     6.8%
       82:      2907303     6.8%
       81:      2792135     6.9%
       80:      2662756     6.9%
       79:      2520566     7.0%
       78:      2377044     7.0%
       77:      2222636     7.1%
       76:      2071475     7.1%
       75:      1919372     7.1%
       74:      1766928     7.2%
       73:      1621076     7.2%
       72:      1485512     7.2%
       71:      1357826     7.3%
       70:      1237185     7.3%
       69:      1134219     7.3%
       68:      1045762     7.3%
       67:       971559     7.4%
       66:       915355     7.4%
       65:       878575     7.4%
       64:       869477     7.4%
       63:       885544     7.4%
       62:       929687     7.4%
       61:      1003976     7.5%
       60:      1113451     7.5%
       59:      1261390     7.5%
       58:      1450257     7.5%
       57:      1684540     7.6%
       56:      1958604     7.6%
       55:      2277858     7.7%
       54:      2635867     7.7%
       53:      3038720     7.8%
       52:      3469039     7.8%
       51:      3917946     7.9%
       50:      4373324     8.0%
       49:      4816125     8.1%
       48:      5236462     8.2%
       47:      5618088     8.3%
       46:      5935878     8.4%
       45:      6180553     8.6%
       44:      6340062     8.7%
       43:      6391002     8.8%
       42:      6343767     8.9%
       41:      6188983     9.1%
       40:      5937499     9.2%
       39:      5613048     9.3%
       38:      5215545     9.4%
       37:      4773237     9.5%
       36:      4291549     9.6%
       35:      3812481     9.6%
       34:      3334061     9.7%
       33:      2887408     9.8%
       32:      2472371     9.8%
       31:      2110142     9.9%
       30:      1793868     9.9%
       29:      1525138     9.9%
       28:      1313368    10.0%
       27:      1146346    10.0%
       26:      1019490    10.0%
       25:       933547    10.0%
       24:       879609    10.0%
       23:       845819    10.0%
       22:       841245    10.1%
       21:       854432    10.1%
       20:       886048    10.1%
       19:       939684    10.1%
       18:      1011815    10.1%
       17:      1106062    10.2%
       16:      1226486    10.2%
       15:      1384800    10.2%
       14:      1589638    10.2%
       13:      1858362    10.3%
       12:      2217174    10.3%
       11:      2700024    10.4%
       10:      3364671    10.4%
        9:      4332810    10.5%
        8:      5783639    10.6%
        7:      8085023    10.8%
        6:     12019578    11.0%
        5:     19593543    11.4%
        4:     37105720    12.2%
        3:     92632366    14.0%
        2:    371253166    21.4%
        1:   3963117911   100.0%
